t,gt_x,gt_y,kiss_x,kiss_y,ov_x,ov_y,ego_x,ego_y
5.505,2.7245,0.3889,1.2637,0.0569,0.3826,-2.6639,1.1768,0.2723
5.526,2.7333,0.3925,1.2637,0.0569,0.3854,-2.6711,1.1778,0.2694
5.547,2.7409,0.3956,1.2637,0.0569,0.3887,-2.6794,1.1778,0.2694
5.568,2.7560,0.4020,1.2637,0.0569,0.3928,-2.6894,1.1902,0.2695
5.589,2.7635,0.4052,1.2637,0.0569,0.3958,-2.6965,1.1902,0.2695
5.610,2.7711,0.4086,1.2637,0.0569,0.3994,-2.7049,1.2016,0.2695
5.631,2.7786,0.4119,1.2637,0.0569,0.4030,-2.7132,1.2131,0.2696
5.652,2.7861,0.4153,1.2637,0.0569,0.4061,-2.7204,1.2131,0.2696
5.673,2.7936,0.4187,1.2637,0.0569,0.4118,-2.7332,1.2245,0.2697
5.694,2.8086,0.4257,1.3045,0.0631,0.4155,-2.7415,1.2359,0.2697
5.715,2.8160,0.4293,1.3045,0.0631,0.4194,-2.7498,1.2359,0.2697
5.736,2.8235,0.4328,1.3045,0.0631,0.4227,-2.7569,1.2473,0.2698
5.757,2.8309,0.4364,1.3045,0.0631,0.4315,-2.7679,1.2587,0.2699
5.778,2.8384,0.4401,1.3045,0.0631,0.4355,-2.7763,1.2587,0.2699
5.799,2.8458,0.4437,1.3045,0.0631,0.4391,-2.7834,1.2701,0.2699
5.820,2.8606,0.4511,1.3045,0.0631,0.4432,-2.7917,1.2701,0.2699
5.841,2.8679,0.4549,1.3045,0.0631,0.4474,-2.8000,1.2815,0.2700
5.862,2.8753,0.4586,1.3045,0.0631,0.4522,-2.8076,1.2939,0.2701
5.883,2.8826,0.4624,1.3045,0.0631,0.4584,-2.8194,1.2939,0.2701
5.904,2.8900,0.4662,1.3493,0.0698,0.4628,-2.8277,1.2534,0.2950
5.925,2.8973,0.4701,1.3493,0.0698,0.4672,-2.8359,1.2641,0.2954
5.946,2.9120,0.4780,1.3493,0.0698,0.4710,-2.8430,1.2641,0.2954
5.967,2.9193,0.4819,1.3493,0.0698,0.4776,-2.8525,1.2747,0.2958
5.988,2.9267,0.4860,1.3493,0.0698,0.4823,-2.8608,1.2747,0.2958
6.009,2.9340,0.4900,1.3493,0.0698,0.4863,-2.8680,1.2854,0.2962
6.030,2.9413,0.4941,1.3493,0.0698,0.4910,-2.8763,1.2961,0.2966
6.051,2.9486,0.4982,1.3493,0.0698,0.4958,-2.8846,1.2961,0.2966
6.072,2.9632,0.5065,1.3493,0.0698,0.5019,-2.8931,1.3067,0.2970
6.093,2.9705,0.5106,1.3493,0.0698,0.5089,-2.9050,1.3174,0.2975
6.114,2.9778,0.5149,1.3719,0.0757,0.5139,-2.9133,1.3174,0.2975
6.135,2.9851,0.5191,1.3719,0.0757,0.5189,-2.9216,1.3281,0.2979
6.156,2.9924,0.5233,1.3719,0.0757,0.5238,-2.9291,1.3281,0.2979
6.177,2.9996,0.5276,1.3719,0.0757,0.5289,-2.9374,1.3397,0.2983
